USB-ISS Module ID: 7 
USB-ISS Software v: 6 

 
 >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>   DATOS DE LOS SENSORES   >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 

    Acelerómetro			    Magnetómetro		              Giroscopio		  Botones 

  X        Y        Z			 X        Y        Z			 X        Y        Z		  B1   B2 
-0.016  -0.031  -1.094 			209	-1121 	-864			157	-70       41		 OFF   OFF
 
0.000  -0.016  -1.078 			209	-1121 	-865			151	-80       80		 OFF   OFF
 
0.000  -0.031  -1.078 			210	-1121 	-863			147	-92       51		 OFF   OFF
 
-0.016  -0.016  -1.094 			209	-1121 	-865			126	-86       58		 OFF   OFF
 
-0.016  -0.016  -1.078 			210	-1121 	-864			143	-111       82		 OFF   OFF
 
-0.016  -0.016  -1.078 			209	-1121 	-865			153	-70       73		 OFF   OFF
 
-0.016  -0.031  -1.078 			209	-1120 	-865			127	-73       60		 OFF   OFF
 
0.000  -0.016  -1.078 			209	-1120 	-864			150	-78       94		 OFF   OFF
 
0.000  -0.016  -1.078 			209	-1120 	-866			165	-86       22		 OFF   OFF
 
0.000  -0.031  -1.078 			211	-1123 	-868			144	-105       58		 OFF   OFF
 
-0.016  -0.031  -1.078 			210	-1122 	-867			175	-80       34		 OFF   OFF
 
-0.016  -0.016  -1.078 			211	-1121 	-866			154	-74       42		 OFF   OFF
 
-0.016  -0.016  -1.078 			209	-1121 	-865			162	-47       66		 OFF   OFF
 
0.000  -0.016  -1.078 			209	-1121 	-865			159	-79       74		 OFF   OFF
 
-0.016  -0.031  -1.094 			210	-1121 	-865			157	-81       38		 OFF   OFF
 
-0.016  -0.031  -1.078 			208	-1121 	-865			152	-85       65		 OFF   OFF
 
-0.016  -0.016  -1.078 			209	-1120 	-866			128	-76       59		 OFF   OFF
 
0.000  -0.016  -1.078 			210	-1121 	-864			164	-99       50		 OFF   OFF
 
